id,fecha,hora,ciudades,keywords,depth,filas_extraidas,error1,2025-06-12,19:31:11,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital,1,True,0,OK
1,2025-06-12,19:44:31,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital,2,True,0,OK
2,2025-06-13,13:23:56,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital; neuquen:Ferreterias en Neuquen; neuquen:Farmacias en Neuquen; neuquen:Lubricentros en Neuquen,2,True,0,Error: process_city_data_core() missing 1 required keyword-only argument: 'fast_mode_enabled'
3,2025-06-13,13:24:24,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital; neuquen:Ferreterias en Neuquen; neuquen:Farmacias en Neuquen; neuquen:Lubricentros en Neuquen,2,True,0,Error: process_city_data_core() missing 1 required keyword-only argument: 'fast_mode_enabled'
4,2025-06-13,13:24:47,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital; neuquen:Ferreterias en Neuquen; neuquen:Farmacias en Neuquen; neuquen:Lubricentros en Neuquen,2,True,0,Error: process_city_data_core() missing 1 required keyword-only argument: 'fast_mode_enabled'
5,2025-06-13,13:24:59,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital; neuquen:Ferreterias en Neuquen; neuquen:Farmacias en Neuquen; neuquen:Lubricentros en Neuquen,2,True,0,Error: process_city_data_core() missing 1 required keyword-only argument: 'fast_mode_enabled'
6,2025-06-13,13:25:01,neuquen,neuquen:Contadores en Neuquen; neuquen:Empresas de servicios en Neuquen; neuquen:Consultorios medicos en Neuquen; neuquen:Gimnasios en Neuquen Capital; neuquen:Ferreterias en Neuquen; neuquen:Farmacias en Neuquen; neuquen:Lubricentros en Neuquen,2,True,0,Error: process_city_data_core() missing 1 required keyword-only argument: 'fast_mode_enabled'
